step,train_loss,train_accuracy,train_specificity,train_sensitivity,train_precision,train_recall,train_f1_score,val_loss,val_accuracy,val_specificity,val_sensitivity,val_precision,val_recall,val_f1_score
2500,0.26838162541389465,0.85,0.7,0.9142857142857143,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.336818623943794,0.8356729975227085,0.6598837209302325,0.9054209919261822,0.8702882483370288,0.9054209919261822,0.8875070661390615
2600,0.332153856754303,0.84,0.6666666666666666,0.9253731343283582,0.8493150684931506,0.9253731343283582,0.8857142857142857,0.3385816065188614,0.8389760528488852,0.688953488372093,0.8985005767012687,0.8792325056433409,0.8985005767012687,0.8887621220764403
2700,0.2550801932811737,0.88,0.7878787878787878,0.9253731343283582,0.8985507246376812,0.9253731343283582,0.9117647058823529,0.34469115384734894,0.8340214698596201,0.6569767441860465,0.9042675893886967,0.8691796008869179,0.9042675893886967,0.886376483889203
2800,0.2818353772163391,0.9,0.7272727272727273,0.9487179487179487,0.925,0.9487179487179487,0.9367088607594937,0.3436178472492495,0.8455821635012386,0.6686046511627907,0.9158016147635525,0.8744493392070485,0.9158016147635525,0.8946478873239436
2900,0.35145285725593567,0.83,0.6451612903225806,0.9130434782608695,0.8513513513513513,0.9130434782608695,0.881118881118881,0.3395318197251483,0.8422791081750619,0.6773255813953488,0.9077277970011534,0.876391982182628,0.9077277970011534,0.891784702549575
3000,0.2716343402862549,0.88,0.7941176470588235,0.9242424242424242,0.8970588235294118,0.9242424242424242,0.9104477611940298,0.34167242544163245,0.8431048720066061,0.6715116279069767,0.9111880046136102,0.8748615725359912,0.9111880046136102,0.8926553672316385
3100,0.23748774826526642,0.88,0.6666666666666666,0.958904109589041,0.8860759493670886,0.958904109589041,0.9210526315789473,0.34915314640281647,0.8406275805119736,0.6656976744186046,0.9100346020761245,0.8727876106194691,0.9100346020761245,0.8910220214568041
3200,0.3627210557460785,0.86,0.6538461538461539,0.9324324324324325,0.8846153846153846,0.9324324324324325,0.9078947368421053,0.34583797386776377,0.8398018166804294,0.6831395348837209,0.9019607843137255,0.877665544332211,0.9019607843137255,0.8896473265073948
3300,0.3373701870441437,0.84,0.6764705882352942,0.9242424242424242,0.8472222222222222,0.9242424242424242,0.8840579710144927,0.3400115563171204,0.8431048720066061,0.6802325581395349,0.9077277970011534,0.8773690078037905,0.9077277970011534,0.8922902494331065
3400,0.19694097340106964,0.92,0.8823529411764706,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.34387380344542157,0.8398018166804294,0.7005813953488372,0.895040369088812,0.8828213879408419,0.895040369088812,0.888888888888889
3500,0.22033502161502838,0.9,0.7857142857142857,0.9444444444444444,0.918918918918919,0.9444444444444444,0.9315068493150684,0.34061143848827363,0.8480594549958712,0.6976744186046512,0.9077277970011534,0.8832772166105499,0.9077277970011534,0.8953356086461888
3600,0.21771793067455292,0.91,0.84375,0.9411764705882353,0.927536231884058,0.9411764705882353,0.9343065693430658,0.3450199764791715,0.8422791081750619,0.688953488372093,0.903114186851211,0.8797752808988764,0.903114186851211,0.8912919749573135
3700,0.22394055128097534,0.91,0.7878787878787878,0.9701492537313433,0.9027777777777778,0.9701492537313433,0.9352517985611511,0.3447102307476551,0.8373245251857968,0.6831395348837209,0.8985005767012687,0.8772522522522522,0.8985005767012687,0.8877492877492877
3800,0.23863065242767334,0.9,0.8214285714285714,0.9305555555555556,0.9305555555555556,0.9305555555555556,0.9305555555555556,0.34666853338904885,0.8414533443435177,0.6918604651162791,0.9008073817762399,0.8804960541149943,0.9008073817762399,0.8905359179019385
3900,0.25190600752830505,0.88,0.8387096774193549,0.8985507246376812,0.9253731343283582,0.8985507246376812,0.9117647058823529,0.34765508429254166,0.8447563996696945,0.7122093023255814,0.8973471741637832,0.887115165336374,0.8973471741637832,0.8922018348623852
4000,0.2633785307407379,0.88,0.7692307692307693,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919,0.3479685818518268,0.8406275805119736,0.7122093023255814,0.8915801614763552,0.8864678899082569,0.8915801614763552,0.8890166762507187
4100,0.2273842841386795,0.88,0.7241379310344828,0.9436619718309859,0.8933333333333333,0.9436619718309859,0.9178082191780823,0.3563408510393445,0.8406275805119736,0.7034883720930233,0.895040369088812,0.8838268792710706,0.895040369088812,0.8893982808022922
