steps,batch_size,learning_rate,loss,hidden_layers,accuracy,specificity,sensitivity,precision,recall,f1_score
1000,50,0.1,BCE,"[100, 100]",0.7159372419488026,0.0,1.0,0.7159372419488026,1.0,0.834456207892204
1000,50,0.1,BCE,"[100, 100, 100]",0.7159372419488026,0.0,1.0,0.7159372419488026,1.0,0.834456207892204
1000,50,0.1,BCE,,0.7910817506193228,0.5174418604651163,0.8996539792387543,0.8245243128964059,0.8996539792387543,0.8604522890237176
1000,50,0.01,BCE,"[100, 100]",0.8340214698596201,0.7063953488372093,0.8846597462514417,0.8836405529953917,0.8846597462514417,0.884149855907781
1000,50,0.01,BCE,"[100, 100, 100]",0.8464079273327828,0.6715116279069767,0.9158016147635525,0.8754134509371555,0.9158016147635525,0.895152198421646
1000,50,0.01,BCE,,0.8340214698596201,0.6831395348837209,0.8938869665513264,0.8766968325791855,0.8938869665513264,0.8852084523129641
1000,50,0.001,BCE,"[100, 100]",0.847233691164327,0.7063953488372093,0.903114186851211,0.8857466063348416,0.903114186851211,0.894346087949743
1000,50,0.001,BCE,"[100, 100, 100]",0.8422791081750619,0.6511627906976745,0.9181084198385236,0.868995633187773,0.9181084198385236,0.8928771733034213
1000,50,0.001,BCE,,0.8265895953757225,0.6424418604651163,0.8996539792387543,0.8637873754152824,0.8996539792387543,0.8813559322033899
1000,100,0.1,BCE,"[100, 100]",0.7159372419488026,0.0,1.0,0.7159372419488026,1.0,0.834456207892204
1000,100,0.1,BCE,"[100, 100, 100]",0.7159372419488026,0.0,1.0,0.7159372419488026,1.0,0.834456207892204
1000,100,0.1,BCE,,0.8175061932287366,0.49127906976744184,0.9469434832756632,0.8242971887550201,0.9469434832756632,0.8813741277509394
1000,100,0.01,BCE,"[100, 100]",0.8455821635012386,0.7587209302325582,0.8800461361014994,0.9018912529550828,0.8800461361014994,0.8908347927612377
1000,100,0.01,BCE,"[100, 100, 100]",0.8604459124690339,0.6976744186046512,0.9250288350634371,0.8852097130242825,0.9250288350634371,0.9046813310772701
1000,100,0.01,BCE,,0.8373245251857968,0.6656976744186046,0.9054209919261822,0.8722222222222222,0.9054209919261822,0.8885116015846066
1000,100,0.001,BCE,"[100, 100]",0.856317093311313,0.7296511627906976,0.9065743944636678,0.89419795221843,0.9065743944636678,0.9003436426116839
1000,100,0.001,BCE,"[100, 100, 100]",0.8629232039636664,0.6773255813953488,0.936562860438293,0.8797399783315276,0.936562860438293,0.9072625698324023
1000,100,0.001,BCE,,0.833195706028076,0.6511627906976745,0.9054209919261822,0.8674033149171271,0.9054209919261822,0.8860045146726861
1000,150,0.1,BCE,"[100, 100]",0.7159372419488026,0.0,1.0,0.7159372419488026,1.0,0.834456207892204
1000,150,0.1,BCE,"[100, 100, 100]",0.7159372419488026,0.0,1.0,0.7159372419488026,1.0,0.834456207892204
1000,150,0.1,BCE,,0.8290668868703551,0.5494186046511628,0.9400230680507498,0.8402061855670103,0.9400230680507498,0.8873162765378335
1000,150,0.01,BCE,"[100, 100]",0.8464079273327828,0.6744186046511628,0.9146482122260668,0.876243093922652,0.9146482122260668,0.8950338600451467
1000,150,0.01,BCE,"[100, 100, 100]",0.8488852188274154,0.7761627906976745,0.8777393310265282,0.9081145584725537,0.8777393310265282,0.8926686217008799
1000,150,0.01,BCE,,0.8389760528488852,0.6744186046511628,0.9042675893886967,0.875,0.9042675893886967,0.8893930799773114
1000,150,0.001,BCE,"[100, 100]",0.856317093311313,0.7587209302325582,0.895040369088812,0.9033760186263097,0.895040369088812,0.899188876013905
1000,150,0.001,BCE,"[100, 100, 100]",0.8521882741535921,0.7034883720930233,0.9111880046136102,0.8856502242152466,0.9111880046136102,0.8982376350198976
1000,150,0.001,BCE,,0.8373245251857968,0.6453488372093024,0.9134948096885813,0.8665207877461707,0.9134948096885813,0.8893879842784952
4000,50,0.1,BCE,"[100, 100]",0.7159372419488026,0.0,1.0,0.7159372419488026,1.0,0.834456207892204
4000,50,0.1,BCE,"[100, 100, 100]",0.7159372419488026,0.0,1.0,0.7159372419488026,1.0,0.834456207892204
4000,50,0.1,BCE,,0.8100743187448389,0.40988372093023256,0.9688581314878892,0.8053691275167785,0.9688581314878892,0.8795811518324607
4000,50,0.01,BCE,"[100, 100]",0.8645747316267548,0.7005813953488372,0.9296424452133795,0.8866886688668867,0.9296424452133795,0.9076576576576577
4000,50,0.01,BCE,"[100, 100, 100]",0.8398018166804294,0.7354651162790697,0.881199538638985,0.8935672514619883,0.881199538638985,0.8873403019744484
4000,50,0.01,BCE,,0.8232865400495458,0.686046511627907,0.8777393310265282,0.8757192174913694,0.8777393310265282,0.8767281105990784
4000,50,0.001,BCE,"[100, 100]",0.8480594549958712,0.7354651162790697,0.8927335640138409,0.8947976878612717,0.8927335640138409,0.8937644341801386
4000,50,0.001,BCE,"[100, 100, 100]",0.8587943848059455,0.7238372093023255,0.9123414071510957,0.8927765237020316,0.9123414071510957,0.9024529378208784
4000,50,0.001,BCE,,0.8455821635012386,0.7151162790697675,0.8973471741637832,0.8881278538812786,0.8973471741637832,0.8927137119908204
4000,100,0.1,BCE,"[100, 100]",0.7159372419488026,0.0,1.0,0.7159372419488026,1.0,0.834456207892204
4000,100,0.1,BCE,"[100, 100, 100]",0.6870355078447564,0.6104651162790697,0.7174163783160323,0.8227513227513228,0.7174163783160323,0.7664818237831177
4000,100,0.1,BCE,,0.8208092485549133,0.5174418604651163,0.9411764705882353,0.8309572301425662,0.9411764705882353,0.8826392644672796
