step,train_loss,train_accuracy,train_specificity,train_sensitivity,train_precision,train_recall,train_f1_score,val_loss,val_accuracy,val_specificity,val_sensitivity,val_precision,val_recall,val_f1_score
0,0.22838164865970612,0.32,0.8461538461538461,0.13513513513513514,0.7142857142857143,0.13513513513513514,0.22727272727272727,0.22265830520583083,0.3129644921552436,0.8226744186046512,0.11072664359861592,0.6114649681528662,0.11072664359861592,0.18749999999999997
100,0.12280414253473282,0.8,0.5882352941176471,0.9090909090909091,0.8108108108108109,0.9090909090909091,0.8571428571428571,0.12383465862488155,0.800990916597853,0.5319767441860465,0.9077277970011534,0.830168776371308,0.9077277970011534,0.8672176308539944
200,0.10601640492677689,0.82,0.5714285714285714,0.9166666666666666,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.10331553415943905,0.8257638315441783,0.5988372093023255,0.9158016147635525,0.851931330472103,0.9158016147635525,0.8827126181211784
300,0.06789243221282959,0.93,0.7777777777777778,0.9863013698630136,0.9230769230769231,0.9863013698630136,0.9536423841059603,0.09751432284906635,0.8298926507018992,0.6337209302325582,0.9077277970011534,0.8619934282584885,0.9077277970011534,0.8842696629213483
400,0.10881109535694122,0.82,0.625,0.9117647058823529,0.8378378378378378,0.9117647058823529,0.8732394366197184,0.09489094750609983,0.8323699421965318,0.6366279069767442,0.9100346020761245,0.8632385120350109,0.9100346020761245,0.8860190903986525
500,0.08602925390005112,0.82,0.6666666666666666,0.868421052631579,0.8918918918918919,0.868421052631579,0.88,0.09343810820113449,0.833195706028076,0.6744186046511628,0.8961937716262975,0.8740157480314961,0.8961937716262975,0.8849658314350797
600,0.05751645937561989,0.91,0.8,0.9466666666666667,0.9342105263157895,0.9466666666666667,0.9403973509933775,0.09244427637541332,0.8348472336911643,0.6715116279069767,0.8996539792387543,0.8734602463605823,0.8996539792387543,0.8863636363636364
700,0.09199729561805725,0.82,0.6875,0.8823529411764706,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.09035806921262983,0.8422791081750619,0.6569767441860465,0.9158016147635525,0.8706140350877193,0.9158016147635525,0.8926363125351321
800,0.06415364146232605,0.88,0.6428571428571429,0.9722222222222222,0.875,0.9722222222222222,0.9210526315789473,0.09079980645214737,0.8414533443435177,0.6569767441860465,0.9146482122260668,0.8704720087815587,0.9146482122260668,0.8920134983127108
900,0.08142325282096863,0.85,0.5833333333333334,0.9342105263157895,0.8765432098765432,0.9342105263157895,0.9044585987261147,0.09085293685611123,0.8389760528488852,0.6482558139534884,0.9146482122260668,0.8676148796498906,0.9146482122260668,0.8905109489051094
