step,train_loss,train_accuracy,train_specificity,train_sensitivity,train_precision,train_recall,train_f1_score,val_loss,val_accuracy,val_specificity,val_sensitivity,val_precision,val_recall,val_f1_score
2900,0.052837371826171875,0.94,0.7692307692307693,1.0,0.925,1.0,0.961038961038961,0.30953204023450265,0.861271676300578,0.686046511627907,0.9307958477508651,0.8819672131147541,0.9307958477508651,0.9057239057239058
3000,0.06176784634590149,0.92,0.8333333333333334,0.96875,0.9117647058823529,0.96875,0.9393939393939394,0.32791454491543814,0.8554913294797688,0.75,0.8973471741637832,0.9004629629629629,0.8973471741637832,0.8989023685730791
3100,0.029292955994606018,1.0,1.0,1.0,1.0,1.0,1.0,0.34991003094997414,0.8629232039636664,0.7296511627906976,0.9158016147635525,0.895152198421646,0.9158016147635525,0.9053591790193843
3200,0.06593916565179825,0.96,0.8,1.0,0.9523809523809523,1.0,0.975609756097561,0.32366213010030426,0.8554913294797688,0.6918604651162791,0.9204152249134948,0.8827433628318584,0.9204152249134948,0.9011857707509883
3300,0.02433762513101101,0.98,1.0,0.975,1.0,0.975,0.9873417721518987,0.36234176454799133,0.8530140379851362,0.7180232558139535,0.9065743944636678,0.8901472253680635,0.9065743944636678,0.8982857142857144
3400,0.04371555149555206,0.96,0.8666666666666667,1.0,0.9459459459459459,1.0,0.9722222222222222,0.3636256707480565,0.8554913294797688,0.6947674418604651,0.9192618223760092,0.8835920177383592,0.9192618223760092,0.9010740531373657
3500,0.04104453697800636,0.96,0.8181818181818182,1.0,0.9512195121951219,1.0,0.975,0.3373458226170708,0.8538398018166804,0.6976744186046512,0.9158016147635525,0.8841870824053452,0.9158016147635525,0.8997167138810198
3600,0.02092011645436287,0.98,0.9444444444444444,1.0,0.9696969696969697,1.0,0.9846153846153847,0.36468869305719687,0.8497109826589595,0.6976744186046512,0.9100346020761245,0.883538633818589,0.9100346020761245,0.8965909090909091
3700,0.03330682963132858,0.96,0.8823529411764706,1.0,0.9428571428571428,1.0,0.9705882352941176,0.3706229322614415,0.8571428571428571,0.7238372093023255,0.9100346020761245,0.8925339366515838,0.9100346020761245,0.9011993146773273
3800,0.07907428592443466,0.92,0.8666666666666667,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.37671248051671985,0.8645747316267548,0.7151162790697675,0.9238754325259516,0.8909899888765295,0.9238754325259516,0.9071347678369196
3900,0.04676086828112602,0.94,0.7857142857142857,1.0,0.9230769230769231,1.0,0.9600000000000001,0.3532771882348821,0.8521882741535921,0.7151162790697675,0.9065743944636678,0.8891402714932126,0.9065743944636678,0.8977727013135351
4000,0.014808743260800838,1.0,1.0,1.0,1.0,1.0,1.0,0.3891509638894446,0.8546655656482246,0.7383720930232558,0.9008073817762399,0.8966704936854191,0.9008073817762399,0.8987341772151898
4100,0.04793475568294525,0.94,0.8571428571428571,0.9722222222222222,0.9459459459459459,0.9722222222222222,0.9589041095890412,0.42059552206010764,0.8604459124690339,0.7034883720930233,0.922722029988466,0.8869179600886918,0.922722029988466,0.9044657998869419
4200,0.049678973853588104,0.94,0.8571428571428571,0.9722222222222222,0.9459459459459459,0.9722222222222222,0.9589041095890412,0.38850856068281275,0.8571428571428571,0.7180232558139535,0.9123414071510957,0.8907657657657657,0.9123414071510957,0.9014245014245013
4300,0.04000866040587425,0.96,0.9,0.975,0.975,0.975,0.975,0.3937650784915304,0.8579686209744013,0.7005813953488372,0.9204152249134948,0.8856825749167592,0.9204152249134948,0.9027149321266968
4400,0.03541536256670952,0.98,0.9333333333333333,1.0,0.9722222222222222,1.0,0.9859154929577464,0.40311417518261633,0.847233691164327,0.7180232558139535,0.8985005767012687,0.889269406392694,0.8985005767012687,0.8938611589214
4500,0.021949784830212593,1.0,1.0,1.0,1.0,1.0,1.0,0.3803899239463959,0.8538398018166804,0.6686046511627907,0.9273356401384083,0.8758169934640523,0.9273356401384083,0.9008403361344538
4600,0.04747087508440018,0.94,0.8333333333333334,1.0,0.9142857142857143,1.0,0.955223880597015,0.409969053087956,0.8728323699421965,0.75,0.9215686274509803,0.9028248587570622,0.9215686274509803,0.9121004566210047
4700,0.05926768481731415,0.92,0.7692307692307693,0.972972972972973,0.9230769230769231,0.972972972972973,0.9473684210526315,0.4061443162682591,0.847233691164327,0.7209302325581395,0.8973471741637832,0.8901601830663616,0.8973471741637832,0.8937392303273981
4800,0.012365056201815605,0.98,1.0,0.972972972972973,1.0,0.972972972972973,0.9863013698630138,0.4207793897812487,0.8554913294797688,0.7122093023255814,0.9123414071510957,0.8887640449438202,0.9123414071510957,0.900398406374502
4900,0.03813415393233299,0.96,1.0,0.9428571428571428,1.0,0.9428571428571428,0.9705882352941176,0.4125281796816462,0.856317093311313,0.7441860465116279,0.9008073817762399,0.8987341772151899,0.9008073817762399,0.8997695852534562
5000,0.04482625424861908,0.94,0.8235294117647058,1.0,0.9166666666666666,1.0,0.9565217391304348,0.4025555996401528,0.8587943848059455,0.75,0.9019607843137255,0.9009216589861752,0.9019607843137255,0.9014409221902018
